Cross,Replicate,Mother_strain,Father_strain,Treatment,Block,Gen_1,Gen_2,Gen_3,Gen_4,Gen_5,Gen_6,Gen_7,Gen_8,Gen_9,Gen_10,Gen_11,Gen_12,Gen_13,Gen_14,Gen_15,Gen_16,Gen_17,Gen_18,Gen_19,Gen_20
7,20,P2_UBI_female,P3_3xp_female,Female,2,FEMALE,NO,NO,NA,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,11,P3_3xp_female,P2_UBI_female,Female,2,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,12,P3_3xp_female,P2_UBI_female,Female,2,NO,NO,NO,NA,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,13,P3_3xp_female,P2_UBI_female,Female,2,NO,NO,NO,NA,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
8,14,P3_3xp_female,P2_UBI_female,Female,2,NO,NO,NO,NA,NO,NO,NO,NO,NO,NO,NO,NO,NO,MALE,NA,NA,NA,NA,NA,NA
8,15,P3_3xp_female,P2_UBI_female,Female,2,NO,NO,NO,NA,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,16,P3_3xp_female,P2_UBI_female,Female,2,NO,NO,FEMALE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,19,P3_3xp_female,P2_UBI_female,Female,2,NO,NO,NO,NA,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,11,P2_UBI_female,P4_3xp_female,Female,2,NO,NO,NO,NA,NO,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,12,P2_UBI_female,P4_3xp_female,Female,2,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,13,P2_UBI_female,P4_3xp_female,Female,2,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,14,P2_UBI_female,P4_3xp_female,Female,2,NO,NO,NO,NA,NO,NO,NO,NO,NO,NO,NO,NO,FEMALE,NO,NA,NA,NA,NA,NA,NA
9,15,P2_UBI_female,P4_3xp_female,Female,2,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,16,P2_UBI_female,P4_3xp_female,Female,2,NO,NO,NO,NA,NO,NO,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,17,P2_UBI_female,P4_3xp_female,Female,2,NO,NO,NO,NA,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,12,P4_3xp_female,P2_UBI_female,Female,2,NO,NO,NO,NA,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,13,P4_3xp_female,P2_UBI_female,Female,2,NO,NO,NO,NA,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,14,P4_3xp_female,P2_UBI_female,Female,2,NO,NO,NO,NA,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,15,P4_3xp_female,P2_UBI_female,Female,2,NO,NO,NO,NA,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,16,P4_3xp_female,P2_UBI_female,Female,2,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
